TRACE,HEADERTIME,TIME_shot_1,TIME_shot_2
369, 15:49:10,747.0,0
370, 15:49:15,2018.0,0
371, 15:54:00,3031.0,0
372, 15:54:05,2749.0,0
373, 15:54:10,2234.0,0
374, 15:54:15,1677.0,0
375, 15:54:20,1156.0,0
376, 15:54:25,3729.0,0
377, 15:54:30,0.0,0
378, 15:54:35,3438.0,0
379, 15:54:40,0.0,0
380, 15:54:45,1063.0,0
381, 15:54:50,1827.0,0
382, 15:54:55,2375.0,0
383, 15:55:00,2342.0,0
384, 15:55:05,3313.0,0
385, 15:55:10,3355.0,0
386, 15:55:15,2167.0,0
387, 15:55:20,1343.0,0
388, 15:55:25,1295.0,0
389, 15:55:30,2325.0,0
390, 15:55:35,1644.0,0
391, 15:55:40,755.3,0
392, 15:55:45,489.5,0
393, 15:55:50,149.0,4834
394, 15:55:55,4460.0,0
395, 15:56:00,4094.0,0
396, 15:56:05,3563.0,0
397, 15:56:10,3322.0,0
398, 15:56:15,3230.0,0
399, 15:56:20,2607.0,0
400, 15:56:25,1677.0,0
401, 15:56:30,763.6,4900
402, 15:56:35,3571.0,0
403, 15:56:40,2342.0,0
404, 15:56:45,1088.0,0
405, 15:56:50,149.0,3967
406, 15:56:55,4244.0,0
407, 15:57:00,3347.0,0
408, 15:57:05,2200.0,0
409, 15:57:10,747.0,4177
410, 15:57:15,2641.0,0
411, 16:02:00,0.0,0
412, 16:02:05,4617.0,0
413, 16:02:10,4202.0,0
414, 16:02:15,4534.0,0
415, 16:02:20,4925.0,0
416, 16:02:25,3372.0,0
417, 16:02:30,954.6,0
418, 16:02:35,564.3,0
419, 16:02:40,1810.0,0
420, 16:02:45,2317.0,0
421, 16:02:50,3397.0,0
422, 16:02:55,3696.0,0
423, 16:03:00,4700.0,0
424, 16:03:05,3845.0,0
425, 16:03:10,3571.0,0
426, 16:03:15,3529.0,0
427, 16:03:20,3446.0,0
428, 16:03:25,3463.0,0
429, 16:03:30,4393.0,0
430, 16:03:35,4576.0,0
431, 16:03:40,4202.0,0
432, 16:03:45,3255.0,0
433, 16:03:50,3579.0,0
434, 16:03:55,2931.0,0
435, 16:04:00,2965.0,0
436, 16:04:05,3388.0,0
437, 16:04:10,3696.0,0
438, 16:04:15,3812.0,0
439, 16:04:20,3795.0,0
440, 16:04:25,3338.0,0
441, 16:04:30,3895.0,0
442, 16:04:35,3197.0,0
443, 16:04:40,3438.0,0
444, 16:04:45,2707.0,0
445, 16:04:50,3762.0,0
446, 16:04:55,2990.0,0
447, 16:05:00,3430.0,0
448, 16:05:05,3006.0,0
449, 16:05:10,3970.0,0
450, 16:05:15,0.0,0
451, 16:10:00,4152.0,0
452, 16:10:05,3803.0,0
453, 16:10:10,4152.0,0
454, 16:10:15,0.0,0
455, 16:10:20,0.0,0
456, 16:10:25,0.0,0
457, 16:10:30,1154.0,0
458, 16:10:35,1611.0,0
459, 16:10:40,1918.0,0
460, 16:10:45,1769.0,0
461, 16:10:50,1561.0,0
462, 16:10:55,1104.0,0
463, 16:11:00,921.4,0
464, 16:11:05,140.7,4636
465, 16:11:10,4219.0,0
466, 16:11:15,3737.0,0
467, 16:11:20,3098.0,0
468, 16:11:25,2151.0,0
469, 16:11:30,1461.0,0
470, 16:11:35,846.7,0
471, 16:11:40,290.2,4293
472, 16:11:45,3754.0,0
473, 16:11:50,3014.0,0
474, 16:11:55,2200.0,0
475, 16:12:00,1627.0,0
476, 16:12:05,688.9,0
477, 16:12:10,74.25,4834
478, 16:12:15,0.0,0
479, 16:12:20,340.0,0
480, 16:12:25,190.5,4755
481, 16:12:30,4700.0,0
482, 16:12:35,4460.0,0
483, 16:12:40,4426.0,0
484, 16:12:45,4269.0,0
485, 16:12:50,3920.0,0
486, 16:12:55,3546.0,0
487, 16:13:00,2774.0,0
488, 16:13:05,2317.0,0
489, 16:13:10,2018.0,0
490, 16:13:15,1486.0,0
491, 16:18:00,2508.0,0
492, 16:18:05,1686.0,0
493, 16:18:10,1495.0,0
494, 16:18:15,331.7,0
495, 16:18:20,1146.0,0
496, 16:18:25,1544.0,0
497, 16:18:30,2167.0,0
498, 16:18:35,2691.0,0
499, 16:18:40,2333.0,0
500, 16:18:45,1985.0,0
501, 16:18:50,1727.0,0
502, 16:18:55,1611.0,0
503, 16:19:00,1403.0,0
